,date,bike_place,bike
0,2018-01-01,41,577
1,2018-01-02,41,577
2,2018-01-03,41,577
3,2018-01-04,41,577
4,2018-01-05,41,577
5,2018-01-06,41,577
6,2018-01-07,41,577
7,2018-01-08,41,577
8,2018-01-09,41,577
9,2018-01-10,41,577
10,2018-01-11,41,577
11,2018-01-12,41,577
12,2018-01-13,41,577
13,2018-01-14,41,577
14,2018-01-15,41,577
15,2018-01-16,41,577
16,2018-01-17,41,577
17,2018-01-18,41,577
18,2018-01-19,41,577
19,2018-01-20,41,577
20,2018-01-21,41,577
21,2018-01-22,41,577
22,2018-01-23,41,577
23,2018-01-24,41,577
24,2018-01-25,41,577
25,2018-01-26,41,577
26,2018-01-27,41,577
27,2018-01-28,41,577
28,2018-01-29,41,577
29,2018-01-30,41,577
30,2018-01-31,41,577
31,2018-02-01,41,577
32,2018-02-02,41,577
33,2018-02-03,41,577
34,2018-02-04,41,577
35,2018-02-05,41,577
36,2018-02-06,41,577
37,2018-02-07,41,577
38,2018-02-08,41,577
39,2018-02-09,41,577
40,2018-02-10,41,577
41,2018-02-11,41,577
42,2018-02-12,41,577
43,2018-02-13,41,577
44,2018-02-14,41,577
45,2018-02-15,41,577
46,2018-02-16,41,577
47,2018-02-17,41,577
48,2018-02-18,41,577
49,2018-02-19,41,577
50,2018-02-20,41,577
51,2018-02-21,41,577
52,2018-02-22,41,577
53,2018-02-23,41,577
54,2018-02-24,41,577
55,2018-02-25,41,577
56,2018-02-26,41,577
57,2018-02-27,41,577
58,2018-02-28,41,577
59,2018-03-01,41,577
60,2018-03-02,41,577
61,2018-03-03,41,577
62,2018-03-04,41,577
63,2018-03-05,41,577
64,2018-03-06,41,577
65,2018-03-07,41,577
66,2018-03-08,41,577
67,2018-03-09,41,577
68,2018-03-10,41,577
69,2018-03-11,41,577
70,2018-03-12,41,577
71,2018-03-13,41,577
72,2018-03-14,41,577
73,2018-03-15,41,577
74,2018-03-16,41,577
75,2018-03-17,41,577
76,2018-03-18,41,577
77,2018-03-19,41,577
78,2018-03-20,41,577
79,2018-03-21,41,577
80,2018-03-22,41,577
81,2018-03-23,41,577
82,2018-03-24,41,577
83,2018-03-25,41,577
84,2018-03-26,41,577
85,2018-03-27,41,577
86,2018-03-28,41,577
87,2018-03-29,41,577
88,2018-03-30,41,577
89,2018-03-31,41,577
90,2018-04-01,41,577
91,2018-04-02,41,577
92,2018-04-03,41,577
93,2018-04-04,41,577
94,2018-04-05,41,577
95,2018-04-06,41,577
