,date,bike_place,bike
0,2018-01-01,45,518
1,2018-01-02,45,518
2,2018-01-03,45,518
3,2018-01-04,45,518
4,2018-01-05,45,518
5,2018-01-06,45,518
6,2018-01-07,45,518
7,2018-01-08,45,518
8,2018-01-09,45,518
9,2018-01-10,45,518
10,2018-01-11,45,518
11,2018-01-12,45,518
12,2018-01-13,45,518
13,2018-01-14,45,518
14,2018-01-15,45,518
15,2018-01-16,45,518
16,2018-01-17,45,518
17,2018-01-18,45,518
18,2018-01-19,45,518
19,2018-01-20,45,518
20,2018-01-21,45,518
21,2018-01-22,45,518
22,2018-01-23,45,518
23,2018-01-24,45,518
24,2018-01-25,45,518
25,2018-01-26,45,518
26,2018-01-27,45,518
27,2018-01-28,45,518
28,2018-01-29,45,518
29,2018-01-30,45,518
30,2018-01-31,45,518
31,2018-02-01,45,518
32,2018-02-02,45,518
33,2018-02-03,45,518
34,2018-02-04,45,518
35,2018-02-05,45,518
36,2018-02-06,45,518
37,2018-02-07,45,518
38,2018-02-08,45,518
39,2018-02-09,45,518
40,2018-02-10,45,518
41,2018-02-11,45,518
42,2018-02-12,45,518
43,2018-02-13,46,528
44,2018-02-14,46,528
45,2018-02-15,46,528
46,2018-02-16,46,528
47,2018-02-17,46,528
48,2018-02-18,46,528
49,2018-02-19,46,528
50,2018-02-20,46,528
51,2018-02-21,46,528
52,2018-02-22,46,528
53,2018-02-23,46,528
54,2018-02-24,46,528
55,2018-02-25,46,528
56,2018-02-26,48,548
57,2018-02-27,48,548
58,2018-02-28,48,548
59,2018-03-01,48,548
60,2018-03-02,48,548
61,2018-03-03,48,548
62,2018-03-04,48,548
63,2018-03-05,48,548
64,2018-03-06,48,548
65,2018-03-07,48,548
66,2018-03-08,48,548
67,2018-03-09,48,548
68,2018-03-10,48,548
69,2018-03-11,48,548
70,2018-03-12,48,548
71,2018-03-13,48,548
72,2018-03-14,48,548
73,2018-03-15,48,548
74,2018-03-16,48,548
75,2018-03-17,48,548
76,2018-03-18,48,548
77,2018-03-19,48,548
78,2018-03-20,48,548
79,2018-03-21,48,548
80,2018-03-22,48,548
81,2018-03-23,48,548
82,2018-03-24,48,548
83,2018-03-25,48,548
84,2018-03-26,48,548
85,2018-03-27,48,548
86,2018-03-28,48,548
87,2018-03-29,48,548
88,2018-03-30,48,548
89,2018-03-31,48,548
90,2018-04-01,48,548
91,2018-04-02,48,548
92,2018-04-03,48,548
93,2018-04-04,48,548
94,2018-04-05,48,548
95,2018-04-06,48,548
96,2018-04-07,48,548
97,2018-04-08,48,548
98,2018-04-09,48,548
99,2018-04-10,48,548
100,2018-04-11,48,548
101,2018-04-12,48,548
102,2018-04-13,48,548
103,2018-04-14,48,548
104,2018-04-15,48,548
105,2018-04-16,48,548
106,2018-04-17,48,548
107,2018-04-18,48,548
108,2018-04-19,48,548
109,2018-04-20,48,548
110,2018-04-21,48,548
111,2018-04-22,48,548
112,2018-04-23,48,548
113,2018-04-24,48,548
114,2018-04-25,48,548
115,2018-04-26,48,548
116,2018-04-27,48,548
117,2018-04-28,48,548
118,2018-04-29,48,548
119,2018-04-30,48,548
120,2018-05-01,48,548
121,2018-05-02,48,548
122,2018-05-03,48,548
123,2018-05-04,48,548
124,2018-05-05,48,548
125,2018-05-06,48,548
126,2018-05-07,48,548
127,2018-05-08,48,548
