,date,bike_place,bike
0,2018-01-01,49,611
1,2018-01-02,49,611
2,2018-01-03,49,611
3,2018-01-04,49,611
4,2018-01-05,49,611
5,2018-01-06,49,611
6,2018-01-07,49,611
7,2018-01-08,49,611
8,2018-01-09,49,611
9,2018-01-10,49,611
10,2018-01-11,49,611
11,2018-01-12,49,611
12,2018-01-13,49,611
13,2018-01-14,49,611
14,2018-01-15,49,611
15,2018-01-16,49,611
16,2018-01-17,49,611
17,2018-01-18,49,611
18,2018-01-19,49,611
19,2018-01-20,49,611
20,2018-01-21,49,611
21,2018-01-22,49,611
22,2018-01-23,49,611
23,2018-01-24,49,611
24,2018-01-25,49,611
25,2018-01-26,49,611
26,2018-01-27,49,611
27,2018-01-28,49,611
28,2018-01-29,49,611
29,2018-01-30,49,611
30,2018-01-31,49,611
31,2018-02-01,49,611
32,2018-02-02,49,611
33,2018-02-03,49,611
34,2018-02-04,49,611
35,2018-02-05,49,611
36,2018-02-06,49,611
37,2018-02-07,49,611
38,2018-02-08,49,611
39,2018-02-09,49,611
40,2018-02-10,49,611
41,2018-02-11,49,611
42,2018-02-12,49,611
43,2018-02-13,49,611
44,2018-02-14,49,611
45,2018-02-15,49,611
46,2018-02-16,49,611
47,2018-02-17,49,611
48,2018-02-18,49,611
49,2018-02-19,49,611
50,2018-02-20,49,611
51,2018-02-21,49,611
52,2018-02-22,49,611
53,2018-02-23,49,611
54,2018-02-24,49,611
55,2018-02-25,49,611
56,2018-02-26,49,611
57,2018-02-27,49,611
58,2018-02-28,49,611
59,2018-03-01,49,611
60,2018-03-02,49,611
61,2018-03-03,49,611
62,2018-03-04,49,611
63,2018-03-05,49,611
64,2018-03-06,49,611
65,2018-03-07,49,611
66,2018-03-08,49,611
67,2018-03-09,49,611
68,2018-03-10,49,611
69,2018-03-11,49,611
70,2018-03-12,49,611
71,2018-03-13,49,611
72,2018-03-14,49,611
73,2018-03-15,49,611
74,2018-03-16,49,611
75,2018-03-17,49,611
76,2018-03-18,49,611
77,2018-03-19,49,611
78,2018-03-20,49,611
79,2018-03-21,49,611
80,2018-03-22,49,611
81,2018-03-23,49,611
82,2018-03-24,49,611
83,2018-03-25,49,611
84,2018-03-26,49,611
85,2018-03-27,49,611
86,2018-03-28,49,611
87,2018-03-29,49,611
88,2018-03-30,49,611
89,2018-03-31,49,611
90,2018-04-01,49,611
91,2018-04-02,49,611
92,2018-04-03,49,611
93,2018-04-04,49,611
94,2018-04-05,49,611
95,2018-04-06,49,611
96,2018-04-07,49,611
97,2018-04-08,49,611
98,2018-04-09,49,611
99,2018-04-10,49,611
100,2018-04-11,49,611
101,2018-04-12,49,611
102,2018-04-13,49,611
103,2018-04-14,49,611
104,2018-04-15,49,611
105,2018-04-16,49,611
106,2018-04-17,49,611
107,2018-04-18,49,611
108,2018-04-19,49,611
109,2018-04-20,49,611
110,2018-04-21,49,611
111,2018-04-22,49,611
112,2018-04-23,49,611
113,2018-04-24,49,611
114,2018-04-25,49,611
115,2018-04-26,49,611
116,2018-04-27,49,611
117,2018-04-28,49,611
118,2018-04-29,49,611
119,2018-04-30,49,611
120,2018-05-01,49,611
121,2018-05-02,49,611
122,2018-05-03,49,611
123,2018-05-04,49,611
124,2018-05-05,49,611
125,2018-05-06,49,611
126,2018-05-07,49,611
127,2018-05-08,49,611
128,2018-05-09,49,611
129,2018-05-10,49,611
130,2018-05-11,49,611
131,2018-05-12,49,611
132,2018-05-13,49,611
133,2018-05-14,49,611
134,2018-05-15,49,611
135,2018-05-16,49,611
136,2018-05-17,49,611
137,2018-05-18,49,611
138,2018-05-19,49,611
139,2018-05-20,49,611
140,2018-05-21,49,611
141,2018-05-22,49,611
142,2018-05-23,49,611
143,2018-05-24,49,611
144,2018-05-25,49,611
145,2018-05-26,49,611
146,2018-05-27,49,611
147,2018-05-28,49,611
148,2018-05-29,49,611
149,2018-05-30,49,611
150,2018-05-31,49,611
151,2018-06-01,49,611
152,2018-06-02,49,611
153,2018-06-03,49,611
154,2018-06-04,49,611
155,2018-06-05,49,611
156,2018-06-06,49,611
157,2018-06-07,49,611
158,2018-06-08,49,611
159,2018-06-09,49,611
160,2018-06-10,49,611
161,2018-06-11,49,611
162,2018-06-12,49,611
163,2018-06-13,49,611
164,2018-06-14,49,611
165,2018-06-15,49,611
166,2018-06-16,49,611
167,2018-06-17,49,611
168,2018-06-18,49,611
169,2018-06-19,49,611
170,2018-06-20,49,611
171,2018-06-21,49,611
172,2018-06-22,49,611
173,2018-06-23,49,611
174,2018-06-24,49,611
175,2018-06-25,49,611
176,2018-06-26,49,611
177,2018-06-27,49,611
178,2018-06-28,49,611
179,2018-06-29,49,611
180,2018-06-30,49,611
181,2018-07-01,49,611
182,2018-07-02,49,611
183,2018-07-03,49,611
184,2018-07-04,49,611
185,2018-07-05,49,611
186,2018-07-06,49,611
187,2018-07-07,49,611
188,2018-07-08,49,611
189,2018-07-09,49,611
190,2018-07-10,49,611
